product_id,product_name,product_season,UnitPrice
1,SolSommarVentil,Summer,75.11769243357388
2,BatteriGrillBevattning,Summer,59.16954810769384
3,SommarPumpPool,Summer,78.92809037918236
4,ReläFläktVärme,Summer,75.60333757552701
5,SommarMotorBevattning,Summer,67.14231797569613
6,SolGrillResistor,Summer,70.989544106493
7,FläktSolTransformator,Summer,67.87904633565017
8,BevattningPumpVärme,Summer,60.90425497508687
9,BevattningFläktSkärm/Display,Summer,91.2714410295385
10,FläktBevattningAnslutningar,Summer,97.58984949287697
11,GrillKondensatorVärme,Summer,99.2363817861095
12,SensorSommarKonditionering,Summer,99.68159451267823
13,KonditioneringVentilFläkt,Summer,81.97220895663635
14,VärmeGrillDriftsystem,Summer,70.22241318238572
15,SolKonditioneringAutomatisering,Summer,65.83860417995007
16,KonditioneringBevattningLED,Summer,76.48940275781118
17,TransformatorBevattningSol,Summer,83.64420972308193
18,FläktKondensatorPool,Summer,67.21507246371284
19,FläktStrömbrytareKonditionering,Summer,53.101844159053044
20,FläktPoolPump,Summer,57.89227444272345
21,VentilPoolKonditionering,Summer,52.69906609966348
22,SommarSolKrets,Summer,59.27680842586455
23,FläktVärmeLED,Summer,95.64981182881051
24,SolBevattningBatteri,Summer,66.00195799386142
25,PoolGrillVäxellåda,Summer,62.656818904147656
26,AxelUppvärmningSkörd,Fall,79.95165238698225
27,HöstAutomatiseringVind,Fall,94.92297904268995
28,VindAxelUppvärmning,Fall,60.76028293955468
29,BatteriHöstBeskärning,Fall,70.77504725868985
30,VindLövSkärm/Display,Fall,91.23442954746719
31,Skärm/DisplayLövblåsareLöv,Fall,93.74923720737658
32,SkördVindFläkt,Fall,95.55954807327811
33,DriftsystemLövUppvärmning,Fall,90.4433099753015
34,BeskärningKabelLöv,Fall,59.822988191695494
35,HöstSensorBeskärning,Fall,97.38295561641287
36,HöstVäxellådaUppvärmning,Fall,82.94928887286115
37,UppvärmningFuktighetTrådlöst,Fall,98.830075913972
38,UppvärmningBeskärningKrets,Fall,90.17963551951135
39,HöstStrömbrytareLövblåsare,Fall,99.65951554676082
40,MotorBeskärningHöst,Fall,85.40322533682331
41,VindKretsFuktighet,Fall,52.03450340415809
42,VindFuktighetTransformator,Fall,74.22836963116517
43,DiagnosverktygSkördHöst,Fall,91.04776736383187
44,FuktighetVindFjärrkontroll,Fall,84.29722158181026
45,UppvärmningSkördKabel,Fall,84.79041134357561
46,VindBatteriUppvärmning,Fall,53.80782907751227
47,HöstLövDriftsystem,Fall,78.78758947500003
48,UppvärmningBeskärningStrömbrytare,Fall,58.65537210640827
49,VentilUppvärmningFuktighet,Fall,80.17225111058845
50,LövLEDUppvärmning,Fall,70.92035910398029
51,GräsBevattningKrets,Spring,56.1368953402764
52,VårBevattningFjärrkontroll,Spring,60.35531275798607
53,KretsRengöringKlippare,Spring,90.76044813798528
54,KabelSkottGräs,Spring,80.56355013091537
55,uftrenareDriftsystemBevattning,Spring,81.72483748203267
56,ProgrammeringuftrenareBevattning,Spring,51.55033961623168
57,RengöringPollenTransformator,Spring,71.6525265697831
58,KlippareVårRelä,Spring,57.89940343097691
59,uftrenareBevattningSkärm/Display,Spring,86.79969780237812
60,SkottKlippareFjärrkontroll,Spring,87.8008541443921
61,DriftsystemPollenGräs,Spring,90.94825359191151
62,BevattningResistoruftrenare,Spring,65.0501943142859
63,BevattningProgrammeringRengöring,Spring,69.07130284000279
64,RengöringSkärm/DisplayVår,Spring,64.34014509927799
65,RengöringGräsTrådlöst,Spring,81.61539033934329
66,BevattningAnslutningaruftrenare,Spring,51.08485021721057
67,GräsPumpKlippare,Spring,94.24871260284715
68,ResistorSkottVår,Spring,89.6584179067591
69,GräsTransformatoruftrenare,Spring,57.71010062364862
70,BevattningVäxellådaGräs,Spring,64.21883351669666
71,BevattningVårPump,Spring,50.877846532547636
72,VårRengöringDriftsystem,Spring,78.8624531007675
73,AutomatiseringuftrenareKlippare,Spring,86.63438378407798
74,VårVäxellådaKlippare,Spring,57.76184268807287
75,MotorBevattningVår,Spring,95.22729693458828
76,BelysningInomhusKabel,Winter,61.35669941116495
77,IsVärmareDriftsystem,Winter,66.7978524699561
78,ReläSlungaVärmare,Winter,95.66328265072055
79,JulSkärm/DisplayVärmare,Winter,95.00566355998862
80,SnöLEDSlunga,Winter,54.0222725486382
81,StrömbrytareIsBelysning,Winter,60.302192190430674
82,IsSnöSkärm/Display,Winter,58.259142974363584
83,InomhusElfiltStrömbrytare,Winter,73.98621013688745
84,MikrokontrollerElfiltIs,Winter,90.26722337674332
85,BelysningMikrokontrollerIs,Winter,67.72092251800917
86,BelysningInomhusKabel,Winter,87.72321916473342
87,SnöVärmareMotor,Winter,83.78245402343575
88,BelysningElfiltResistor,Winter,92.37771973169981
89,SnöBelysningKabel,Winter,56.686002553590455
90,PumpSlungaIs,Winter,69.58784821244228
91,SnöAxelIs,Winter,64.92310917104821
92,JulTransformatorElfilt,Winter,54.82935436183976
93,ElfiltKondensatorVärmare,Winter,88.30142241848301
94,KabelElfiltSlunga,Winter,73.70161254488511
95,ElfiltJulVäxellåda,Winter,78.00710571526892
96,ElfiltJulPump,Winter,83.60526214676374
97,KabelBelysningIs,Winter,58.636073008375476
98,BelysningKretsElfilt,Winter,78.14224844237847
99,IsSnöTrådlöst,Winter,92.1774679940657
100,SnöBelysningResistor,Winter,64.54857244934631
101,AnslutningarAutomatiseringKrets,General,59.2542027669653
102,MikrokontrollerAnslutningarMotor,General,94.70671758250643
103,TransformatorTrådlöstVentil,General,68.68252656535459
104,DiagnosverktygVentilVäxellåda,General,79.8958560221653
105,PumpResistorKrets,General,67.52981720357842
106,BatteriFjärrkontrollMotor,General,71.62111026553796
107,MotorKretsVäxellåda,General,50.94544942976463
108,MikrokontrollerTrådlöstKrets,General,93.87600859643398
109,TransformatorFjärrkontrollKondensator,General,71.43985083610346
110,LEDDiagnosverktygAnslutningar,General,97.40584364117251
111,KondensatorStrömbrytareMotor,General,87.40140837645339
112,TransformatorReläProgrammering,General,78.49702991706961
113,BatteriTransformatorMotor,General,56.710441658511876
114,VäxellådaFjärrkontrollPump,General,81.55931031483968
115,AnslutningarAutomatiseringRelä,General,61.46891633137347
116,AxelKondensatorFjärrkontroll,General,60.72389447536103
117,KabelDiagnosverktygStrömbrytare,General,66.32183072309724
118,FläktVentilDriftsystem,General,75.25442179676989
119,DiagnosverktygSensorRelä,General,52.29783033474713
120,Skärm/DisplaySensorPump,General,50.435797770386074
121,MikrokontrollerVäxellådaTransformator,General,54.065497543520266
122,TrådlöstAnslutningarTrådlöst,General,74.56532092093764
123,LEDAnslutningarRelä,General,79.30641279699847
124,PumpVentilAxel,General,90.97980078827942
125,DiagnosverktygAxelFjärrkontroll,General,93.20858769994874
